Ticket ID,Opened,Customer,Email,Priority,Channel,Subject,Resolution Hours,Reopened
T-20493,25.06.2025,Tom Silva,tom.silva30@example.com,Urgent,Phone,Need help configuring SSO 520,31.9,2
T-20494,11.03.2025,Omar Haddad,omar.haddad91@example.com,High,Chat,Dashboard loads very slowly 577,29.7,0
T-20495,06.04.2025,Elena Tanaka,elena.tanaka28@example.com,High,Email,Need help configuring SSO 648,51.9,0
T-20496,12.06.2025,Priya Costa,priya.costa52@example.com,High,Chat,Need help configuring SSO 645,24.8,0
T-20497,12.07.2025,Priya Berg,priya.berg13@example.com,Normal,Email,Feature request: bulk edit 575,38.5,0
T-20498,02.09.2025,Anna Wright,anna.wright85@example.com,Normal,Phone,Need help configuring SSO,86.4,0
T-20499,28.05.2025,Omar Haddad,omar.haddad18@example.com,Low,Chat,Dashboard loads very slowly 634,62.7,2
T-20500,05.06.2025,Diego Sharma,diego.sharma92@example.com,Urgent,Email,Feature request: bulk edit 593,15.1,0
T-20501,04.05.2025,Yuki Wright,yuki.wright67@example.com,Urgent,Phone,Duplicate records after sync 942,10.2,0
T-20502,26.06.2025,Omar Haddad,omar.haddad12@example.com,Urgent,Phone,Data import stops at 40 percent,37.4,1
T-20503,07.06.2025,Priya Silva,priya.silva2@example.com,Urgent,Email,Login fails after password reset 493,71.2,1
T-20504,17.04.2025,Elena Sharma,elena.sharma12@example.com,Urgent,Phone,Data import stops at 40 percent 776,83.1,0
T-20505,04.09.2025,Priya Silva,priya.silva58@example.com,Low,Chat,Dashboard loads very slowly 305,35.6,0
T-20506,09.08.2025,Tom Novak,tom.novak31@example.com,Normal,Phone,Invoice amount does not match the order 310,73.5,0
T-20507,08.06.2025,Priya Tanaka,priya.tanaka89@example.com,Urgent,Email,Data import stops at 40 percent 192,49.4,0
T-20508,09.05.2025,Marcus Berg,marcus.berg41@example.com,Urgent,Chat,Login fails after password reset,6.8,0
T-20509,09.06.2025,Omar Wright,omar.wright59@example.com,Urgent,Phone,Cannot export report to PDF,32.1,0
T-20510,13.08.2025,Omar Berg,omar.berg78@example.com,Low,Phone,Need help configuring SSO 112,26.6,0
T-20511,04.05.2025,Marcus Sharma,marcus.sharma75@example.com,Normal,Email,Dashboard loads very slowly 671,59.9,0
T-20512,31.08.2025,Yuki Novak,yuki.novak68@example.com,Urgent,Chat,Invoice amount does not match the order,70,0
T-20513,07.05.2025,Tom Sharma,tom.sharma42@example.com,High,Email,Data import stops at 40 percent 819,75.4,0
T-20514,10.03.2025,Anna Wright,anna.wright39@example.com,Urgent,Chat,Dashboard loads very slowly,80.8,0
T-20515,29.06.2025,Anna Wright,anna.wright25@example.com,High,Phone,Need help configuring SSO 232,87,0
T-20516,16.06.2025,Marcus Berg,marcus.berg9@example.com,Normal,Phone,Feature request: bulk edit 90,64.1,0
T-20517,08.04.2025,Anna Wright,anna.wright39@example.com,High,Chat,Data import stops at 40 percent 727,95,0
T-20518,16.09.2025,Anna Haddad,anna.haddad36@example.com,Normal,Email,Need help configuring SSO 446,75.6,0
T-20519,24.05.2025,Anna Haddad,anna.haddad54@example.com,High,Email,Duplicate records after sync,14.9,1
T-20520,03.07.2025,Yuki Haddad,yuki.haddad45@example.com,Normal,Email,Need help configuring SSO 563,16.5,2
T-20521,11.04.2025,Yuki Sharma,yuki.sharma79@example.com,Normal,Phone,Cannot export report to PDF,3.1,1
T-20522,07.06.2025,Yuki Berg,yuki.berg93@example.com,Urgent,Email,Duplicate records after sync 210,59.4,0
T-20523,08.06.2025,Marcus Berg,marcus.berg14@example.com,Urgent,Phone,Login fails after password reset,89,0
T-20524,02.06.2025,Anna Sharma,anna.sharma81@example.com,High,Chat,Data import stops at 40 percent 693,42,0
T-20525,25.05.2025,Priya Novak,priya.novak77@example.com,Urgent,Email,Data import stops at 40 percent 337,7.9,1
T-20526,10.07.2025,Elena Berg,elena.berg81@example.com,Low,Email,Cannot export report to PDF 96,47.5,2
T-20527,27.07.2025,Tom Tanaka,tom.tanaka58@example.com,High,Chat,Need help configuring SSO 465,15.9,1
T-20528,03.07.2025,Yuki Wright,yuki.wright34@example.com,High,Email,Dashboard loads very slowly 16,49.5,0
T-20529,11.03.2025,Omar Novak,omar.novak41@example.com,High,Chat,Invoice amount does not match the order 563,5.3,0
T-20530,30.04.2025,Diego Silva,diego.silva13@example.com,Urgent,Chat,Data import stops at 40 percent,33.9,0
T-20531,07.04.2025,Anna Haddad,anna.haddad3@example.com,Normal,Chat,Feature request: bulk edit 413,21.8,0
T-20532,04.05.2025,Elena Silva,elena.silva40@example.com,Low,Email,Need help configuring SSO 47,74.4,0
T-20533,06.06.2025,Yuki Haddad,yuki.haddad45@example.com,Normal,Phone,Invoice amount does not match the order 63,84.4,0
T-20534,05.05.2025,Priya Novak,priya.novak56@example.com,Urgent,Phone,Data import stops at 40 percent 308,78,0
T-20535,01.03.2025,Priya Novak,priya.novak74@example.com,Urgent,Chat,Cannot export report to PDF,83.8,2
T-20536,09.08.2025,Omar Novak,omar.novak66@example.com,Low,Chat,Invoice amount does not match the order,14.3,0
T-20537,28.05.2025,Marcus Novak,marcus.novak30@example.com,Low,Phone,Need help configuring SSO 255,37.3,0
T-20538,29.06.2025,Marcus Berg,marcus.berg22@example.com,Urgent,Email,Data import stops at 40 percent 320,70.8,0
T-20539,01.03.2025,Anna Tanaka,anna.tanaka1@example.com,Low,Email,Feature request: bulk edit,1.4,0
T-20540,10.09.2025,Omar Sharma,omar.sharma22@example.com,High,Phone,Cannot export report to PDF,61.6,0
T-20541,01.05.2025,Anna Costa,anna.costa32@example.com,Urgent,Chat,Cannot export report to PDF 62,63.4,0
T-20542,11.06.2025,Yuki Tanaka,yuki.tanaka41@example.com,Low,Email,Feature request: bulk edit 923,65.8,0
T-20543,15.05.2025,Tom Tanaka,tom.tanaka68@example.com,High,Email,Cannot export report to PDF,86.1,1
T-20544,15.04.2025,Elena Wright,elena.wright25@example.com,High,Chat,Login fails after password reset 559,23.5,0
T-20545,15.09.2025,Priya Costa,priya.costa3@example.com,Urgent,Phone,Feature request: bulk edit,55.9,0
T-20546,16.05.2025,Marcus Haddad,marcus.haddad43@example.com,Low,Phone,Dashboard loads very slowly,62,2
T-20547,01.05.2025,Yuki Novak,yuki.novak11@example.com,High,Email,Cannot export report to PDF 263,30.7,0
T-20548,15.03.2025,Marcus Wright,marcus.wright74@example.com,High,Email,Data import stops at 40 percent,82.9,0
T-20549,09.08.2025,Anna Haddad,anna.haddad73@example.com,Normal,Phone,Feature request: bulk edit,28.6,1
T-20550,29.05.2025,Priya Tanaka,priya.tanaka98@example.com,Normal,Chat,Dashboard loads very slowly,53.2,0
T-20551,30.07.2025,Marcus Berg,marcus.berg45@example.com,Normal,Email,Login fails after password reset 960,22.4,0
T-20552,02.04.2025,Diego Tanaka,diego.tanaka88@example.com,Low,Email,Dashboard loads very slowly 705,25.1,1
T-20553,07.09.2025,Omar Wright,omar.wright83@example.com,Normal,Chat,Data import stops at 40 percent 844,8,0
T-20554,22.04.2025,Marcus Silva,marcus.silva21@example.com,Low,Email,Data import stops at 40 percent,67.1,2
T-20555,02.08.2025,Elena Sharma,elena.sharma81@example.com,High,Chat,Dashboard loads very slowly 388,55,1
T-20556,01.04.2025,Tom Berg,tom.berg78@example.com,Low,Email,Login fails after password reset,38.4,1
T-20557,18.04.2025,Priya Silva,priya.silva65@example.com,High,Phone,Invoice amount does not match the order,36.6,0
T-20558,07.07.2025,Anna Novak,anna.novak84@example.com,High,Phone,Need help configuring SSO 627,63.4,1
T-20559,26.04.2025,Elena Sharma,elena.sharma54@example.com,Urgent,Phone,Dashboard loads very slowly 442,3.3,1
T-20560,04.09.2025,Diego Wright,diego.wright40@example.com,Urgent,Phone,Invoice amount does not match the order,60.2,0
T-20561,20.06.2025,Anna Berg,anna.berg11@example.com,High,Chat,Login fails after password reset 554,67.6,0
T-20562,03.09.2025,Marcus Silva,marcus.silva2@example.com,Urgent,Email,Login fails after password reset 277,13.2,0
T-20563,17.06.2025,Elena Silva,elena.silva40@example.com,High,Email,Need help configuring SSO,14.9,0
T-20564,08.06.2025,Elena Sharma,elena.sharma23@example.com,Normal,Email,Duplicate records after sync,23.9,0
T-20565,05.04.2025,Yuki Haddad,yuki.haddad92@example.com,Low,Phone,Login fails after password reset 667,9.5,0
T-20566,26.06.2025,Priya Berg,priya.berg17@example.com,Low,Phone,Data import stops at 40 percent 142,58.4,1
T-20567,25.07.2025,Tom Tanaka,tom.tanaka72@example.com,Urgent,Email,Dashboard loads very slowly,29.2,0
T-20568,30.04.2025,Priya Wright,priya.wright27@example.com,Urgent,Email,Need help configuring SSO,74.5,1
T-20569,22.03.2025,Diego Haddad,diego.haddad46@example.com,Normal,Email,Invoice amount does not match the order 109,3.7,2
T-20570,01.04.2025,Yuki Berg,yuki.berg52@example.com,Low,Email,Need help configuring SSO 825,73.3,1
T-20571,26.06.2025,Tom Novak,tom.novak28@example.com,Low,Phone,Invoice amount does not match the order 447,5.1,0
T-20572,23.03.2025,Tom Wright,tom.wright99@example.com,Normal,Chat,Cannot export report to PDF 568,69.1,2
T-20573,09.06.2025,Priya Costa,priya.costa4@example.com,Low,Chat,Invoice amount does not match the order,47.2,0
T-20574,05.05.2025,Tom Novak,tom.novak61@example.com,Urgent,Email,Dashboard loads very slowly 397,13.7,0
T-20575,11.05.2025,Tom Wright,tom.wright13@example.com,Urgent,Phone,Feature request: bulk edit,50.2,0
T-20576,02.04.2025,Yuki Costa,yuki.costa61@example.com,Low,Phone,Invoice amount does not match the order,39.6,0
T-20577,16.07.2025,Priya Costa,priya.costa27@example.com,Low,Phone,Duplicate records after sync 488,57.6,0
T-20578,15.05.2025,Tom Sharma,tom.sharma77@example.com,High,Email,Feature request: bulk edit 711,72.9,0
T-20579,14.05.2025,Yuki Silva,yuki.silva37@example.com,Low,Phone,Feature request: bulk edit 327,83.2,2
T-20580,20.03.2025,Diego Berg,diego.berg63@example.com,Normal,Chat,Data import stops at 40 percent,5.4,2
T-20581,07.05.2025,Omar Silva,omar.silva35@example.com,Normal,Email,Duplicate records after sync 920,41.1,0
T-20582,22.06.2025,Omar Tanaka,omar.tanaka92@example.com,Urgent,Chat,Need help configuring SSO 978,65.1,1
T-20583,11.08.2025,Omar Berg,omar.berg60@example.com,Urgent,Chat,Feature request: bulk edit 773,33.1,1
T-20584,22.05.2025,Elena Berg,elena.berg6@example.com,Low,Chat,Data import stops at 40 percent 418,29.1,2
T-20585,27.03.2025,Omar Sharma,omar.sharma83@example.com,Low,Phone,Feature request: bulk edit,76.1,0
T-20586,02.05.2025,Marcus Silva,marcus.silva21@example.com,High,Email,Invoice amount does not match the order,91.7,0
T-20587,03.09.2025,Priya Costa,priya.costa91@example.com,Urgent,Chat,Data import stops at 40 percent 39,89.7,2
T-20588,12.08.2025,Yuki Wright,yuki.wright51@example.com,Low,Email,Feature request: bulk edit,42.4,0
T-20589,13.08.2025,Omar Berg,omar.berg53@example.com,Low,Phone,Invoice amount does not match the order,35.8,0
T-20590,30.06.2025,Diego Silva,diego.silva91@example.com,Normal,Phone,Dashboard loads very slowly,43.1,0
T-20591,08.03.2025,Marcus Tanaka,marcus.tanaka93@example.com,Urgent,Phone,Feature request: bulk edit,9.2,0
T-20592,09.09.2025,Marcus Berg,marcus.berg44@example.com,High,Email,Feature request: bulk edit,85.2,0
T-20593,08.07.2025,Anna Berg,anna.berg31@example.com,Urgent,Chat,Feature request: bulk edit 70,40.7,1
T-20594,18.08.2025,Marcus Silva,marcus.silva97@example.com,Urgent,Chat,Need help configuring SSO,42.4,1
T-20595,12.04.2025,Priya Costa,priya.costa23@example.com,Normal,Chat,Duplicate records after sync,70.6,0
T-20596,16.06.2025,Marcus Haddad,marcus.haddad23@example.com,Low,Phone,Data import stops at 40 percent,58.6,1
T-20597,22.04.2025,Marcus Sharma,marcus.sharma3@example.com,Low,Chat,Data import stops at 40 percent 88,87.5,0
T-20598,09.05.2025,Tom Tanaka,tom.tanaka24@example.com,Urgent,Chat,Dashboard loads very slowly,9.6,0
T-20599,28.08.2025,Anna Novak,anna.novak98@example.com,Urgent,Phone,Need help configuring SSO 958,10.7,0
